unnamed	gi|81340931|sp|O06733.1|YISX_BACSU	28.93	121	86	0	48	168	55	175	6e-07	50.4
unnamed	gi|81340931|sp|O06733.1|YISX_BACSU	21.64	171	125	9	1	166	34	200	1.5	32.3
unnamed	gi|75265738|sp|Q9SE95.1|FIP2_ARATH	24.65	142	97	10	35	166	130	271	2e-05	46.6
unnamed	gi|75265738|sp|Q9SE95.1|FIP2_ARATH	19.42	139	112	0	23	161	158	296	0.17	35.4
unnamed	gi|6226470|sp|P73709.1|Y1819_SYNY3	16.45	152	116	11	33	173	72	223	0.001	41.6
unnamed	gi|6226470|sp|P73709.1|Y1819_SYNY3	22.48	129	85	15	38	166	17	130	0.061	36.6
unnamed	gi|6226470|sp|P73709.1|Y1819_SYNY3	18.49	146	109	10	33	168	183	328	0.39	34.3
unnamed	gi|6226382|sp|Q55837.1|Y516_SYNY3	22.22	126	74	24	32	153	59	164	0.003	39.7
unnamed	gi|6226382|sp|Q55837.1|Y516_SYNY3	20.37	108	76	10	71	173	43	145	1.8	32.0
unnamed	gi|126812|sp|P05530.1|MCBG_ECOLX	23.24	142	100	9	32	168	7	144	0.004	39.7
unnamed	gi|6226483|sp|Q52118.1|YMO3_PANSE	16.07	168	121	20	6	173	117	264	0.011	38.9
unnamed	gi|6226483|sp|Q52118.1|YMO3_PANSE	18.90	127	83	20	68	174	79	205	0.046	37.0
unnamed	gi|50400921|sp|Q7L273.1|KCTD9_HUMAN	20.98	143	108	5	36	173	228	370	0.013	38.9
unnamed	gi|81872902|sp|Q9Z2I6.1|SV2C_RAT	27.14	70	51	0	31	100	495	564	0.016	38.5
unnamed	gi|108860966|sp|Q69ZS6.2|SV2C_MOUSE	28.57	63	45	0	38	100	502	564	0.019	38.5
unnamed	gi|108860965|sp|Q496J9.1|SV2C_HUMAN	27.14	70	51	0	31	100	495	564	0.020	38.5
unnamed	gi|122546274|sp|Q2PT27.2|QNRB4_ECOLX	21.97	132	87	16	36	161	34	155	0.027	37.4
unnamed	gi|418540|sp|P32690.1|YJBI_ECOLI	25.66	113	84	0	36	148	20	132	0.038	37.4
unnamed	gi|418540|sp|P32690.1|YJBI_ECOLI	27.47	91	58	8	56	145	89	172	0.23	35.0
unnamed	gi|418554|sp|P32704.1|YJCF_ECOLI	22.76	145	82	30	37	151	163	307	0.081	36.6
unnamed	gi|418554|sp|P32704.1|YJCF_ECOLI	19.81	106	85	0	68	173	169	274	0.091	36.2
unnamed	gi|418554|sp|P32704.1|YJCF_ECOLI	24.68	77	58	0	93	169	154	230	1.0	33.1
unnamed	gi|418554|sp|P32704.1|YJCF_ECOLI	25.84	89	61	5	81	169	272	355	8.2	30.4
unnamed	gi|81726511|sp|Q87K03.1|QNR_VIBPA	21.01	138	89	20	11	148	67	184	0.087	35.8
unnamed	gi|75039741|sp|Q29397.1|SV2A_BOVIN	28.57	63	45	0	38	100	516	578	0.098	36.2
unnamed	gi|81881914|sp|Q9JIS5.1|SV2A_MOUSE	28.57	63	45	0	38	100	516	578	0.099	36.2
unnamed	gi|108935908|sp|Q02563.2|SV2A_RAT	28.57	63	45	0	38	100	516	578	0.10	36.2
unnamed	gi|75075844|sp|Q4R4X3.1|SV2A_MACFA	28.57	63	45	0	38	100	516	578	0.10	36.2
unnamed	gi|74749878|sp|Q7L0J3.1|SV2A_HUMAN	28.57	63	45	0	38	100	516	578	0.11	36.2
unnamed	gi|75040980|sp|Q5R4L9.1|SV2A_PONAB	28.57	63	45	0	38	100	516	578	0.11	36.2
